"anio","mes","cuenta","importe","anavertical","target"
"2015","12","5","-450592.44","-0.1391","1"
"2015","12","6","-222160.05","-0.0686","1"
"2015","12","7","-688581.05","-0.2126","1"
"2015","12","8","-81.41","-0.0000","1"
"2015","12","9","-4767.32","-0.0015","1"
"2015","12","10","42556.84","0.0131","1"
"2015","12","11","205493.61","0.0634","1"
"2016","1","1","2250396.67","1.0000","2"
"2016","1","2","-941188.08","-0.4182","1"
"2016","1","3","1309208.59","0.5818","1"
"2016","1","4","-103181.58","-0.0459","1"
"2016","1","5","-309720.49","-0.1376","1"
"2016","1","6","-180852.12","-0.0804","2"
"2016","1","7","-519391.76","-0.2308","2"
"2016","1","8","-209.61","-0.0001","1"
"2016","1","9","-387.59","-0.0002","1"
"2016","1","10","29147.79","0.0130","1"
"2016","1","11","224613.23","0.0998","1"
"2016","2","1","2259014.3","1.0000","2"
"2016","2","2","-893276.14","-0.3954","1"
"2016","2","3","1365738.16","0.6046","1"
"2016","2","4","-127558.23","-0.0565","2"
"2016","2","5","-363126.72","-0.1607","2"
"2016","2","6","-236034.13","-0.1045","3"
"2016","2","7","-591120.44","-0.2617","2"
"2016","2","8","-71.84","-0.0000","1"
"2016","2","9","1425.3","0.0006","1"
"2016","2","10","22223.16","0.0098","2"
"2016","2","11","71475.26","0.0316","1"
"2016","3","1","2643198.06","1.0000","1"
"2016","3","2","-1072929.22","-0.4059","1"
"2016","3","3","1570268.84","0.5941","1"
"2016","3","4","-113079.7","-0.0428","1"
"2016","3","5","-320239.93","-0.1212","1"
"2016","3","6","-214113.84","-0.0810","2"
"2016","3","7","-618584.02","-0.2340","2"
"2016","3","8","-918.63","-0.0003","1"
"2016","3","9","0","0.0000","1"
"2016","3","10","13045.82","0.0049","3"
"2016","3","11","316378.54","0.1197","1"
"2016","4","1","2694848.5","1.0000","1"
"2016","4","2","-1233390.21","-0.4577","2"
"2016","4","3","1461458.29","0.5423","2"
"2016","4","4","-152950.56","-0.0568","2"
"2016","4","5","-344632.77","-0.1279","1"
"2016","4","6","-164062.34","-0.0609","1"
"2016","4","7","-644035.11","-0.2390","2"
"2016","4","8","0","0.0000","1"
"2016","4","9","-788.55","-0.0003","1"
"2016","4","10","25080.71","0.0093","2"
"2016","4","11","180069.67","0.0668","1"
"2016","5","1","3015755.03","1.0000","1"
"2016","5","2","-1351967.86","-0.4483","1"
"2016","5","3","1663787.17","0.5517","2"
"2016","5","4","-139541.54","-0.0463","1"
"2016","5","5","-295911.24","-0.0981","1"
"2016","5","6","-209823.89","-0.0696","1"
"2016","5","7","-575737.19","-0.1909","1"
"2016","5","8","-112","-0.0000","1"
"2016","5","9","-11011.96","-0.0037","1"
"2016","5","10","13245.6","0.0044","3"
"2016","5","11","444894.95","0.1475","1"
"2016","6","1","2842608.74","1.0000","1"
"2016","6","2","-1268043.31","-0.4461","1"
"2016","6","3","1574565.43","0.5539","2"
"2016","6","4","-151676.65","-0.0534","2"
